Glucose Data,Generated on,21-11-2024 12:39 UTC,Generated by,Carlisha  Steele 
Device,Serial Number,Device Timestamp,Record Type,Historic Glucose mmol/L,Scan Glucose mmol/L,Non-numeric Rapid-Acting Insulin,Rapid-Acting Insulin (units),Non-numeric Food,Carbohydrates (grams),Carbohydrates (servings),Non-numeric Long-Acting Insulin,Long-Acting Insulin (units),Notes,Strip Glucose mmol/L,Ketone mmol/L,Meal Insulin (units),Correction Insulin (units),User Change Insulin (units)
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 10:13,0,11.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 10:28,0,12.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 10:43,0,11.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 10:59,0,11.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 11:14,0,12.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 11:29,0,12.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 11:44,0,11.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 12:00,0,11.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 12:15,0,11.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 12:30,0,11.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 12:45,0,11.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 13:00,0,11.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 13:15,0,11.5,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 13:30,0,12.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 13:45,0,12.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 14:00,0,12.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 14:16,0,12.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 14:31,0,11.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 14:46,0,10.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 15:01,0,9.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 15:16,0,8.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 15:31,0,7.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 15:46,0,6.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 16:01,0,6.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 16:16,0,7.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 16:31,0,8.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 16:46,0,8.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 17:01,0,9.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 17:16,0,10.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 17:33,0,14.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 17:48,0,15.5,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 18:03,0,16.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 18:18,0,16.5,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 18:33,0,16.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 18:48,0,17.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 19:03,0,18.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 19:18,0,17.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 19:33,0,16.5,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 19:48,0,18.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 20:03,0,19.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 20:18,0,18.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 20:33,0,16.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 20:48,0,17.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 21:03,0,16.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 21:18,0,14.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 21:33,0,13.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 21:49,0,15.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 22:04,0,13.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 22:19,0,11.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 22:34,0,9.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 22:49,0,8.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 23:04,0,8.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 23:19,0,7.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 23:34,0,6.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,02-11-2024 23:50,0,5.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 00:05,0,5.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 00:20,0,5.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 00:35,0,7.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 00:50,0,9.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 01:05,0,12.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 01:20,0,16.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 01:52,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 02:07,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 02:22,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 02:37,0,22.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 02:52,0,21.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 03:07,0,20.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 03:22,0,19.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 03:37,0,18.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 03:52,0,16.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 04:07,0,14.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 04:22,0,13.5,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 04:37,0,12.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 04:52,0,10.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 05:07,0,8.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 05:22,0,7.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 05:38,0,6.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 05:53,0,4.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 06:08,0,4.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 06:23,0,4.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 06:38,0,4.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 06:53,0,4.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 07:08,0,4.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 07:23,0,5.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 07:38,0,4.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 07:53,0,5.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 08:10,0,5.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 08:25,0,6.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 08:40,0,6.7,,,,,,,,,,,,,,
